iter	Passed	Remaining
807	6746	1603
808	6752	1594
809	6759	1585
810	6766	1576
811	6774	1568
812	6781	1559
813	6790	1551
814	6797	1542
815	6804	1534
816	6810	1525
817	6818	1517
818	6825	1508
819	6833	1500
820	6840	1491
821	6848	1482
822	6854	1474
823	6862	1465
824	6869	1457
825	6876	1448
826	6883	1439
827	6890	1431
828	6898	1422
829	6905	1414
830	6912	1405
831	6920	1397
832	6927	1388
833	6934	1380
834	6941	1371
835	6950	1363
836	6956	1354
837	6965	1346
838	6973	1338
839	6980	1329
840	6987	1321
841	6998	1313
842	7005	1304
843	7013	1296
844	7020	1287
845	7029	1279
846	7036	1271
847	7043	1262
848	7050	1253
849	7057	1245
850	7063	1236
851	7071	1228
852	7078	1219
853	7085	1211
854	7093	1202
855	7100	1194
856	7107	1185
857	7114	1177
858	7124	1169
859	7130	1160
860	7138	1152
861	7144	1143
862	7152	1135
863	7160	1127
864	7167	1118
865	7174	1110
866	7182	1101
867	7190	1093
868	7198	1085
869	7205	1076
870	7211	1068
871	7219	1059
872	7230	1051
873	7237	1043
874	7243	1034
875	7250	1026
876	7258	1017
877	7265	1009
878	7272	1001
879	7279	992
880	7287	984
881	7295	976
882	7302	967
883	7309	959
884	7317	950
885	7324	942
886	7332	934
887	7338	925
888	7347	917
889	7356	909
890	7366	901
891	7378	893
892	7388	885
893	7397	877
894	7410	869
895	7424	861
896	7432	853
897	7439	845
898	7448	836
899	7455	828
900	7463	820
901	7469	811
902	7477	803
903	7485	794
904	7491	786
905	7499	778
906	7506	769
907	7513	761
908	7520	752
909	7528	744
910	7535	736
911	7544	727
912	7552	719
913	7559	711
914	7565	702
915	7573	694
916	7582	686
917	7590	677
918	7597	669
919	7604	661
920	7612	652
921	7619	644
922	7627	636
923	7633	627
924	7641	619
925	7647	611
926	7656	602
927	7665	594
928	7675	586
929	7685	578
930	7694	570
931	7705	562
932	7714	553
933	7723	545
934	7733	537
935	7744	529
936	7753	521
937	7761	513
938	7771	504
939	7780	496
940	7790	488
941	7802	480
942	7811	472
943	7820	463
944	7828	455
945	7839	447
946	7847	439
947	7857	430
948	7866	422
949	7874	414
950	7885	406
951	7893	397
952	7902	389
953	7912	381
954	7921	373
955	7930	365
956	7939	356
957	7949	348
958	7955	340
959	7964	331
960	7972	323
961	7980	315
962	7989	306
963	7997	298
964	8004	290
965	8012	282
966	8020	273
967	8029	265
968	8037	257
969	8046	248
970	8053	240
971	8061	232
972	8069	223
973	8077	215
974	8086	207
975	8095	199
976	8105	190
977	8114	182
978	8125	174
979	8133	165
980	8142	157
981	8150	149
982	8158	141
983	8165	132
984	8173	124
985	8179	116
986	8185	107
987	8192	99
988	8198	91
989	8205	82
990	8211	74
991	8217	66
992	8223	57
993	8230	49
994	8236	41
995	8242	33
996	8247	24
997	8253	16
998	8259	8
999	8266	0
58
993	8344	50
994	8353	41
995	8362	33
996	8372	25
997	8381	16
998	8391	8
999	8399	0
